2026-02-27 12:01:07 [info]: Server started on http://localhost:5173
2026-02-27 12:03:17 [info]: Server started on http://localhost:5173
2026-02-27 12:32:23 [info]: Server started on http://localhost:5000
2026-02-27 12:32:42 [info]: Server started on http://localhost:5000
2026-02-27 12:33:01 [info]: Server started on http://localhost:5000
2026-02-27 12:34:23 [info]: Server started on http://localhost:5050
2026-03-10 11:26:07 [info]: Server started on http://localhost:5050
2026-03-10 11:26:10 [info]: Server started on http://localhost:5050
2026-03-10 11:26:13 [info]: Server started on http://localhost:5050
2026-03-10 11:26:16 [info]: Server started on http://localhost:5050
2026-03-10 11:26:19 [info]: Server started on http://localhost:5050
2026-03-10 11:26:22 [info]: Server started on http://localhost:5050
2026-03-10 11:26:25 [info]: Server started on http://localhost:5050
2026-03-10 11:26:28 [info]: Server started on http://localhost:5050
2026-03-10 11:26:31 [info]: Server started on http://localhost:5050
2026-03-10 11:26:34 [info]: Server started on http://localhost:5050
2026-03-10 11:26:37 [info]: Server started on http://localhost:5050
2026-03-10 11:26:41 [info]: Server started on http://localhost:5050
2026-03-10 11:26:44 [info]: Server started on http://localhost:5050
2026-03-10 11:26:47 [info]: Server started on http://localhost:5050
2026-03-10 11:26:50 [info]: Server started on http://localhost:5050
2026-03-10 11:26:53 [info]: Server started on http://localhost:5050
2026-03-10 11:26:56 [info]: Server started on http://localhost:5050
2026-03-10 11:26:59 [info]: Server started on http://localhost:5050
2026-03-10 11:27:02 [info]: Server started on http://localhost:5050
2026-03-10 11:27:05 [info]: Server started on http://localhost:5050
2026-03-10 11:27:08 [info]: Server started on http://localhost:5050
2026-03-10 11:27:11 [info]: Server started on http://localhost:5050
2026-03-10 11:27:15 [info]: Server started on http://localhost:5050
2026-03-10 11:27:18 [info]: Server started on http://localhost:5050
2026-03-10 11:40:42 [info]: Database connected successfully 🚀
2026-03-10 11:40:42 [info]: Server started on http://localhost:5050
